"path","type","class","length","dim","is_list_like","preview"
"<root>$results$data$scen_22[[2]]$Ret","double","numeric",100,NA,FALSE,"c(27030, 23807, 39567) … (97 more)"
"<root>$results$data$scen_22[[2]]$Rec","double","numeric",100,NA,FALSE,"c(59962, 34867, 39260) … (97 more)"
"<root>$results$data$scen_22[[2]]$eps","double","numeric",100,NA,FALSE,"c(0.18464, -0.34939, -0.21937) … (97 more)"
"<root>$results$data$scen_22[[2]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 1) … (97 more)"
"<root>$results$data$scen_22[[2]]$Esc","double","numeric",100,NA,FALSE,"c(15173, 11081, 14979) … (97 more)"
"<root>$results$data$scen_22[[2]]$Harv","double","numeric",100,NA,FALSE,"c(11857, 12726, 24588) … (97 more)"
"<root>$results$data$scen_22[[2]]$RepOut","double","numeric",100,NA,FALSE,"c(12886726, 8964093, 8492885) … (97 more)"
"<root>$results$data$scen_22[[2]]$lnRS","double","numeric",100,NA,FALSE,"c(1.37419349570539, 1.14630889319227, 0.963556968661733) … (97 more)"
"<root>$results$data$scen_22[[2]]$meanSesc","double","numeric",100,NA,FALSE,"c(842.754941408847, 836.156129315719, 824.185545311394) … (97 more)"
"<root>$results$data$scen_22[[2]]$meanSret","double","numeric",100,NA,FALSE,"c(841.769799128657, 834.733753967905, 823.45669361606) … (97 more)"
"<root>$results$data$scen_22[[2]]$meanSharv","double","numeric",100,NA,FALSE,"c(840.5093354185, 833.495239019837, 823.01277284172) … (97 more)"
"<root>$results$data$scen_22[[3]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_22[[3]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_22[[3]]$Ret","double","numeric",100,NA,FALSE,"c(13941, 23034, 23469) … (97 more)"
"<root>$results$data$scen_22[[3]]$Rec","double","numeric",100,NA,FALSE,"c(17400, 21272, 37751) … (97 more)"
"<root>$results$data$scen_22[[3]]$eps","double","numeric",100,NA,FALSE,"c(-0.47777, -0.27072, 0.24724) … (97 more)"
"<root>$results$data$scen_22[[3]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 1) … (97 more)"
"<root>$results$data$scen_22[[3]]$Esc","double","numeric",100,NA,FALSE,"c(7634, 10321, 11447) … (97 more)"
"<root>$results$data$scen_22[[3]]$Harv","double","numeric",100,NA,FALSE,"c(6307, 12713, 12022) … (97 more)"
"<root>$results$data$scen_22[[3]]$RepOut","double","numeric",100,NA,FALSE,"c(6127856, 6000018, 8274419) … (97 more)"
"<root>$results$data$scen_22[[3]]$lnRS","double","numeric",100,NA,FALSE,"c(0.823858251897445, 0.723210999356922, 1.19328427847406) … (97 more)"
